filename,text,voice
"convenience_store_basic_greeting_perfect","很好！打招呼打得很有禮貌！","Sulafat"
"convenience_store_basic_greeting_partial","不錯！可以說得更完整一點喔","Sulafat"
"convenience_store_basic_greeting_failed","可以這樣說：「你好！」","Sulafat"
"convenience_store_basic_ask_location_perfect","問得很清楚！","Sulafat"
"convenience_store_basic_ask_location_partial","說出了重點！試著說完整：「請問餅乾在哪裡？」","Sulafat"
"convenience_store_basic_ask_location_failed","可以這樣說：「請問餅乾在哪裡？」","Sulafat"
"convenience_store_basic_ask_price_perfect","問得很好！","Sulafat"
"convenience_store_basic_ask_price_partial","說出了重點！可以加上「請問」會更有禮貌","Sulafat"
"convenience_store_basic_ask_price_failed","可以這樣說：「請問這個多少錢？」","Sulafat"
"convenience_store_basic_purchase_perfect","很好！購買的說法很清楚！","Sulafat"
"convenience_store_basic_purchase_partial","說出了重點！可以說完整一點","Sulafat"
"convenience_store_basic_purchase_failed","可以這樣說：「我要買這個！」","Sulafat"
"convenience_store_basic_checkout_perfect","說得很清楚！","Sulafat"
"convenience_store_basic_checkout_partial","聽到了！可以說得更完整喔","Sulafat"
"convenience_store_basic_checkout_failed","可以說：「我付現金」或「我要刷卡」","Sulafat"
"convenience_store_basic_goodbye_perfect","道謝道得很有禮貌！太棒了！","Sulafat"
"convenience_store_basic_goodbye_partial","說了！可以同時說謝謝和再見喔","Sulafat"
"convenience_store_basic_goodbye_failed","可以這樣說：「謝謝再見！」","Sulafat"
"convenience_store_not_enough_money_greeting_perfect","很好！打招呼很有禮貌！","Sulafat"
"convenience_store_not_enough_money_greeting_partial","不錯！可以說得更完整","Sulafat"
"convenience_store_not_enough_money_greeting_failed","可以這樣說：「你好！」","Sulafat"
"convenience_store_not_enough_money_ask_price_perfect","問得很好！","Sulafat"
"convenience_store_not_enough_money_ask_price_partial","說出了重點！可以加上「請問」更有禮貌","Sulafat"
"convenience_store_not_enough_money_ask_price_failed","可以這樣說：「請問這個多少錢？」","Sulafat"
"convenience_store_not_enough_money_want_buy_perfect","很好！","Sulafat"
"convenience_store_not_enough_money_want_buy_partial","說出了重點！","Sulafat"
"convenience_store_not_enough_money_want_buy_failed","可以這樣說：「我要買！」","Sulafat"
"convenience_store_not_enough_money_not_enough_perfect","說得很有禮貌！誠實說出來很棒！","Sulafat"
"convenience_store_not_enough_money_not_enough_partial","說出了重點！可以說：「不好意思，我的錢不夠」","Sulafat"
"convenience_store_not_enough_money_not_enough_failed","可以這樣說：「不好意思，我的錢不夠」","Sulafat"
"convenience_store_not_enough_money_goodbye_perfect","說得很有禮貌！下次記得多帶一點錢喔！","Sulafat"
"convenience_store_not_enough_money_goodbye_partial","有說謝謝！可以再加上「再見」","Sulafat"
"convenience_store_not_enough_money_goodbye_failed","可以這樣說：「謝謝！再見！」","Sulafat"
"convenience_store_cant_find_item_greeting_perfect","很好！打招呼打得很有禮貌！","Sulafat"
"convenience_store_cant_find_item_greeting_partial","不錯！可以說得更完整","Sulafat"
